#{"t_start": 1653365178.2220185, "env_id": null}
r,l,t
0.0,2,3.429053
0.0,1,3.437816
1.0,4,3.452763
0.0,1,3.460761
0.0,3,3.471234
0.0,1,3.480456
0.0,2,3.491359
0.0,1,3.50002
0.0,2,3.511345
0.0,2,3.522721
0.0,1,3.531443
0.0,5,3.546074
1.0,5,3.562143
0.0,1,3.56974
0.0,1,3.578293
1.0,4,3.593879
0.0,3,3.60683
0.0,1,3.615666
1.0,4,3.629993
0.0,1,3.638566
0.0,2,3.648602
0.0,4,3.661426
0.0,1,3.671244
0.0,2,3.682148
0.0,1,3.691178
0.0,1,3.699264
0.0,2,3.71034
0.0,3,3.723311
0.0,3,3.736903
0.0,2,3.7463
0.0,2,3.756972
0.0,3,3.770264
0.0,2,3.780224
0.0,2,3.790036
0.0,2,3.800526
0.0,2,3.809394
0.0,2,3.818886
0.0,2,3.827276
0.0,3,3.839138
0.0,4,3.85165
0.0,1,3.860255
0.0,2,3.869783
0.0,1,3.878439
0.0,1,3.88651
0.0,3,3.900258
0.0,2,3.911369
0.0,1,3.920337
0.0,1,3.929164
0.0,2,3.939546
0.0,1,3.947774
0.0,1,3.956456
1.0,7,3.974688
1.0,5,3.991207
0.0,2,4.001336
0.0,1,4.011436
0.0,5,4.027271
0.0,2,4.038378
0.0,1,4.046542
0.0,4,4.060748
1.0,4,4.075266
0.0,2,4.085958
0.0,4,4.100005
0.0,1,4.108142
0.0,2,4.117846
0.0,2,4.127807
0.0,3,4.139418
0.0,3,4.151783
0.0,3,4.164738
0.0,2,4.17612
0.0,2,4.187048
0.0,1,4.195851
1.0,3,4.208876
0.0,3,4.221727
0.0,9,4.244527
0.0,1,4.252606
0.0,1,4.260924
0.0,2,4.271227
0.0,1,4.281057
0.0,4,4.294796
0.0,2,4.304654
0.0,2,4.315354
0.0,2,4.326789
3.0,13,4.35681
1.0,5,4.373674
0.0,1,4.382882
0.0,2,4.39279
0.0,1,4.401111
0.0,1,4.409426
0.0,3,4.422171
0.0,1,4.429845
1.0,6,4.448636
0.0,3,4.461241
0.0,2,4.471622
0.0,3,4.482168
0.0,1,4.490999
0.0,1,4.499137
0.0,2,4.508744
0.0,1,4.517072
0.0,1,4.526599
0.0,2,4.536852
1.0,6,4.556713
0.0,3,4.568035
0.0,1,4.576867
0.0,1,4.585355
0.0,1,4.594675
0.0,1,4.602715
0.0,3,4.614813
1.0,5,4.631095
0.0,2,4.641349
0.0,1,4.650739
2.0,7,4.671905
0.0,3,4.683579
0.0,3,4.696077
0.0,1,4.70462
1.0,8,4.727746
2.0,8,4.748531
0.0,1,4.758003
0.0,1,4.766405
0.0,2,4.777864
0.0,1,4.786348
0.0,1,4.794263
0.0,1,4.803343
1.0,7,4.822251
0.0,1,4.830721
0.0,2,4.840526
0.0,1,4.84832
0.0,1,4.85797
0.0,3,4.870312
0.0,3,4.882935
0.0,3,4.895156
0.0,2,4.906136
1.0,3,4.918819
0.0,1,4.927453
1.0,3,4.939052
1.0,3,4.952687
0.0,3,4.965155
0.0,4,4.979166
1.0,4,4.992796
0.0,1,5.001317
0.0,1,5.01014
0.0,2,5.019102
0.0,1,5.02826
0.0,3,5.041152
0.0,4,5.054895
0.0,1,5.125526
1.0,5,5.143196
0.0,1,5.152384
0.0,1,5.160794
0.0,1,5.169585
