#{"t_start": 1653469310.1659322, "env_id": null}
r,l,t
0.0,3,4.240503
0.0,2,4.248515
0.0,1,4.256006
0.0,1,4.263047
0.0,3,4.276242
0.0,3,4.290962
1.0,6,4.309693
0.0,3,4.32299
1.0,6,4.344327
0.0,4,4.35812
0.0,5,4.375299
0.0,1,4.385801
0.0,3,4.398326
2.0,8,4.424171
0.0,2,4.433485
0.0,1,4.4406
1.0,9,4.467856
0.0,6,4.487436
0.0,4,4.502362
2.0,7,4.525887
1.0,3,4.537389
1.0,4,4.55369
1.0,3,4.569087
0.0,2,4.579041
1.0,8,4.60587
0.0,1,4.613528
0.0,2,4.62179
0.0,6,4.640418
0.0,3,4.655343
1.0,5,4.672675
0.0,2,4.68271
0.0,1,4.693355
1.0,3,4.706379
1.0,6,4.72844
1.0,4,4.746476
0.0,2,4.760605
0.0,3,4.772827
0.0,1,4.780748
1.0,7,4.806384
1.0,3,4.816687
0.0,3,4.832459
0.0,1,4.840751
1.0,5,4.859762
0.0,3,4.874762
0.0,3,4.886881
0.0,4,4.901545
1.0,8,4.927167
1.0,5,4.944634
0.0,3,4.954726
0.0,1,4.965051
0.0,1,4.973354
1.0,3,4.985204
0.0,2,4.997106
0.0,2,5.005371
0.0,1,5.013643
0.0,3,5.029299
0.0,2,5.038879
0.0,2,5.049894
0.0,1,5.058079
1.0,5,5.077439
0.0,4,5.0931
1.0,5,5.112508
0.0,1,5.119809
0.0,1,5.128294
0.0,5,5.145879
1.0,4,5.163732
0.0,3,5.17638
0.0,2,5.186232
0.0,2,5.196108
2.0,6,5.217948
1.0,4,5.2326
0.0,4,5.250241
1.0,3,5.264541
0.0,1,5.272344
0.0,2,5.280433
1.0,3,5.295105
1.0,6,5.314723
1.0,5,5.332129
1.0,5,5.35041
0.0,1,5.359043
0.0,1,5.368986
0.0,1,5.376984
1.0,13,5.410856
0.0,3,5.425974
0.0,2,5.43555
1.0,4,5.451572
1.0,8,5.47517
1.0,6,5.494435
1.0,4,5.509747
1.0,5,5.52525
1.0,5,5.542765
0.0,3,5.555646
0.0,3,5.570066
0.0,2,5.582139
0.0,1,5.593716
0.0,1,5.601687
0.0,3,5.612006
1.0,5,5.629435
0.0,4,5.642587
0.0,1,5.650353
1.0,3,5.662801
1.0,4,5.676268
0.0,3,5.688425
1.0,6,5.710974
0.0,3,5.721707
0.0,2,5.734757
1.0,6,5.755544
0.0,3,5.766948
1.0,5,5.783321
1.0,6,5.807334
0.0,3,5.81747
0.0,4,5.834341
0.0,3,5.846994
0.0,1,5.854801
0.0,2,5.86429
1.0,5,5.882673
1.0,6,5.901575
2.0,10,5.931525
1.0,5,5.945658
0.0,2,5.957395
1.0,5,5.976866
1.0,4,5.991156
0.0,2,5.999286
0.0,3,6.014534
0.0,1,6.022301
0.0,4,6.037043
0.0,1,6.045837
0.0,1,6.053989
0.0,2,6.063454
0.0,2,6.075
1.0,5,6.092249
0.0,3,6.102749
0.0,3,6.116454
1.0,4,6.134266
1.0,7,6.155064
1.0,7,6.178741
0.0,2,6.186879
0.0,3,6.199058
1.0,5,6.218163
0.0,5,6.236486
0.0,2,6.244976
0.0,2,6.254292
0.0,2,6.268133
0.0,2,6.27704
0.0,1,6.285501
0.0,5,6.30384
1.0,5,6.324066
1.0,4,6.340441
0.0,3,6.356224
0.0,3,6.369397
0.0,1,6.380344
1.0,7,6.40159
0.0,1,6.409388
0.0,6,6.426378
1.0,5,6.444532
0.0,1,6.454733
0.0,4,6.46629
0.0,1,6.476518
0.0,3,6.486959
1.0,5,6.504698
0.0,1,6.512142
0.0,2,6.524752
1.0,5,6.545248
0.0,2,6.553598
1.0,5,6.571469
0.0,1,6.578769
2.0,8,6.605767
1.0,6,6.627276
0.0,2,6.638558
2.0,8,6.665716
0.0,1,6.677823
0.0,5,6.698598
0.0,3,6.715016
0.0,3,6.727873
1.0,5,6.746349
0.0,3,6.758197
2.0,9,6.787083
1.0,8,6.810193
1.0,7,6.832039
1.0,3,6.845361
0.0,3,6.857518
0.0,1,6.864907
1.0,6,6.887138
0.0,2,6.896404
0.0,1,6.903941
2.0,6,6.923582
1.0,5,6.942068
0.0,2,6.954444
0.0,3,6.967905
1.0,6,6.989779
0.0,4,7.00304
1.0,6,7.023824
0.0,2,7.033471
0.0,1,7.040761
0.0,3,7.055711
0.0,3,7.066516
0.0,3,7.078419
0.0,2,7.088205
0.0,2,7.099519
1.0,6,7.118295
1.0,5,7.137552
1.0,8,7.163849
0.0,7,7.186375
1.0,4,7.206499
1.0,6,7.229166
0.0,1,7.236938
0.0,5,7.255228
0.0,3,7.27021
1.0,3,7.282678
0.0,3,7.297629
1.0,6,7.319006
1.0,9,7.344182
0.0,2,7.355387
1.0,4,7.371767
0.0,1,7.380137
1.0,7,7.405362
0.0,3,7.417461
0.0,1,7.427097
0.0,1,7.435285
1.0,5,7.452624
1.0,5,7.471339
0.0,3,7.48051
1.0,4,7.496371
0.0,3,7.509741
1.0,9,7.537802
1.0,6,7.557429
0.0,1,7.564896
0.0,1,7.572695
0.0,3,7.588035
1.0,4,7.603054
0.0,1,7.611056
0.0,1,7.618271
1.0,4,7.634833
0.0,2,7.643645
1.0,4,7.660665
0.0,1,7.669479
0.0,2,7.682922
0.0,3,7.694683
0.0,3,7.707205
0.0,1,7.715677
0.0,1,7.723033
1.0,5,7.741514
0.0,6,7.759723
1.0,3,7.77454
0.0,2,7.784809
0.0,2,7.795928
2.0,7,7.819898
0.0,3,7.835153
0.0,5,7.849502
0.0,3,7.860595
0.0,3,7.874998
1.0,4,7.890454
0.0,8,7.912027
0.0,2,7.924056
1.0,9,7.951519
0.0,3,7.960871
1.0,8,7.988293
0.0,8,8.00993
0.0,2,8.021486
1.0,9,8.051481
0.0,2,8.062672
2.0,8,8.088358
0.0,1,8.095962
0.0,2,8.103988
0.0,1,8.112039
2.0,8,8.139146
1.0,5,8.154754
0.0,1,8.162146
1.0,4,8.177684
0.0,3,8.192209
0.0,1,8.199613
1.0,5,8.217989
1.0,7,8.240526
2.0,8,8.264924
0.0,1,8.272849
0.0,1,8.280859
0.0,3,8.295739
0.0,1,8.303187
0.0,1,8.311002
1.0,5,8.328826
1.0,5,8.347572
0.0,8,8.373591
0.0,6,8.392919
0.0,5,8.410702
1.0,9,8.439841
1.0,6,8.459852
0.0,2,8.468464
1.0,3,8.481192
0.0,2,8.490925
0.0,2,8.503277
0.0,3,8.514892
1.0,6,8.537242
0.0,4,8.549166
0.0,1,8.559341
0.0,7,8.581001
0.0,1,8.58986
0.0,3,8.601975
1.0,5,8.617481
0.0,3,8.630085
2.0,8,8.655487
0.0,3,8.669491
0.0,5,8.684595
0.0,4,8.697229
0.0,2,8.709386
0.0,3,8.720657
0.0,2,8.732538
