#{"t_start": 1651589491.544666, "env_id": null}
r,l,t
0.0,2,3.351471
0.0,1,3.360671
1.0,4,3.374664
0.0,1,3.382749
0.0,3,3.392599
0.0,1,3.402016
0.0,2,3.412328
0.0,1,3.421086
0.0,2,3.432154
0.0,2,3.443495
0.0,1,3.45172
0.0,5,3.466314
1.0,5,3.481642
0.0,1,3.489196
0.0,1,3.497076
1.0,4,3.512459
0.0,3,3.524855
0.0,1,3.533923
1.0,4,3.547404
0.0,1,3.556364
0.0,2,3.566082
0.0,4,3.578744
0.0,1,3.587379
0.0,2,3.598153
0.0,1,3.606855
0.0,1,3.615238
0.0,2,3.625534
0.0,3,3.638437
0.0,3,3.651853
0.0,2,3.661445
0.0,2,3.671536
0.0,3,3.685005
0.0,2,3.694331
0.0,2,3.704048
0.0,2,3.713998
0.0,2,3.723609
0.0,2,3.733109
0.0,2,3.741462
0.0,3,3.75276
0.0,4,3.765424
0.0,1,3.773606
0.0,2,3.783236
0.0,1,3.791384
0.0,1,3.799455
0.0,3,3.81285
0.0,2,3.823751
0.0,1,3.83203
0.0,1,3.841008
0.0,2,3.850814
0.0,1,3.858967
0.0,1,3.867114
1.0,7,3.885008
1.0,5,3.901126
0.0,2,3.911264
0.0,1,3.920666
0.0,5,3.93659
0.0,2,3.946797
0.0,1,3.954782
0.0,4,3.968303
1.0,4,3.983023
0.0,2,3.992985
0.0,4,4.007057
0.0,1,4.01461
0.0,2,4.024459
0.0,2,4.033883
0.0,3,4.045362
0.0,3,4.057305
0.0,3,4.070496
0.0,2,4.08028
0.0,2,4.091251
0.0,1,4.099689
1.0,3,4.112952
0.0,3,4.125278
0.0,9,4.147955
0.0,1,4.155794
0.0,1,4.164279
0.0,2,4.174096
0.0,1,4.183574
0.0,4,4.196437
0.0,2,4.206347
0.0,2,4.216687
0.0,2,4.228228
3.0,13,4.257063
1.0,5,4.273937
0.0,1,4.282668
0.0,2,4.292364
0.0,1,4.300314
0.0,1,4.308754
0.0,3,4.320895
0.0,1,4.328866
1.0,6,4.346617
0.0,3,4.358673
0.0,2,4.368632
0.0,3,4.379176
0.0,1,4.387249
0.0,1,4.395677
0.0,2,4.405014
0.0,1,4.413537
0.0,1,4.42271
0.0,2,4.433286
1.0,6,4.452123
0.0,3,4.463503
0.0,1,4.471849
0.0,1,4.480341
0.0,1,4.48905
0.0,1,4.497064
0.0,3,4.508608
1.0,5,4.524982
0.0,2,4.534617
0.0,1,4.544011
2.0,7,4.563768
0.0,3,4.575397
0.0,3,4.587462
0.0,1,4.596039
1.0,8,4.618671
2.0,8,4.639472
0.0,1,4.648441
0.0,1,4.657219
0.0,2,4.667992
0.0,1,4.676557
0.0,1,4.68392
0.0,1,4.693302
1.0,7,4.711506
0.0,1,4.720239
0.0,2,4.730081
0.0,1,4.738073
0.0,1,4.74707
0.0,3,4.759214
0.0,3,4.771033
0.0,3,4.783425
0.0,2,4.793726
1.0,3,4.806776
0.0,1,4.815216
1.0,3,4.826881
1.0,3,4.83969
0.0,3,4.852105
0.0,4,4.865518
1.0,4,4.8794
0.0,1,4.887195
0.0,1,4.896057
0.0,2,4.904798
0.0,1,4.914133
0.0,3,4.92657
0.0,4,4.940558
0.0,1,4.94857
1.0,5,4.965342
0.0,1,4.974053
0.0,1,4.982753
0.0,1,4.992441
0.0,2,5.002558
0.0,1,5.011788
0.0,2,5.022972
0.0,4,5.037191
0.0,5,5.05439
0.0,3,5.06521
1.0,6,5.082138
0.0,1,5.090335
0.0,2,5.101359
0.0,1,5.109445
0.0,1,5.117931
0.0,3,5.129964
0.0,1,5.138428
0.0,1,5.146438
0.0,1,5.155143
0.0,1,5.163785
0.0,3,5.176502
0.0,3,5.188922
0.0,2,5.198625
0.0,2,5.209579
0.0,3,5.220968
0.0,2,5.232056
0.0,2,5.241763
0.0,2,5.251621
0.0,2,5.260993
1.0,5,5.276487
0.0,2,5.287822
0.0,1,5.296288
0.0,1,5.304589
0.0,1,5.313612
0.0,3,5.326515
0.0,1,5.334532
0.0,6,5.352161
0.0,2,5.363342
1.0,4,5.377764
0.0,3,5.389272
0.0,3,5.400857
0.0,4,5.414648
0.0,3,5.426388
0.0,3,5.437867
0.0,2,5.447874
0.0,3,5.460026
0.0,1,5.468911
0.0,1,5.477556
0.0,3,5.489443
0.0,2,5.499463
1.0,8,5.518776
0.0,1,5.527662
0.0,1,5.536433
0.0,1,5.54523
0.0,2,5.555361
0.0,1,5.564086
1.0,6,5.582395
0.0,1,5.591897
0.0,2,5.602202
1.0,5,5.618902
0.0,1,5.627684
0.0,3,5.636645
0.0,2,5.647735
0.0,3,5.660315
1.0,8,5.683246
0.0,2,5.693112
0.0,4,5.710085
0.0,1,5.718413
0.0,3,5.731393
0.0,1,5.739431
0.0,1,5.747294
0.0,1,5.756202
1.0,5,5.771941
1.0,3,5.785295
0.0,1,5.793604
1.0,5,5.808658
0.0,1,5.81746
0.0,1,5.82557
0.0,3,5.836597
0.0,3,5.847809
1.0,7,5.866178
0.0,4,5.880049
0.0,1,5.888634
0.0,2,5.898805
0.0,1,5.907114
0.0,1,5.9152
0.0,1,5.923839
0.0,2,5.933709
0.0,3,5.944815
0.0,3,5.956109
0.0,1,5.964267
1.0,7,5.981811
0.0,1,5.991146
0.0,7,6.00873
0.0,1,6.017635
0.0,1,6.026113
1.0,6,6.043621
0.0,6,6.060949
0.0,2,6.072744
0.0,1,6.08122
0.0,5,6.097666
2.0,10,6.123557
0.0,2,6.133408
0.0,1,6.142313
0.0,2,6.152435
1.0,8,6.172778
0.0,2,6.184306
0.0,3,6.197012
