#{"t_start": 1653531679.7720191, "env_id": null}
r,l,t
0.0,3,3.202586
0.0,1,3.21129
0.0,3,3.223939
0.0,1,3.231669
0.0,2,3.24059
0.0,2,3.250331
1.0,8,3.268931
0.0,1,3.277239
0.0,2,3.287229
1.0,4,3.299896
0.0,1,3.308238
0.0,2,3.317636
1.0,5,3.331905
0.0,1,3.339133
0.0,1,3.347397
2.0,10,3.368999
0.0,3,3.382268
0.0,1,3.390623
0.0,1,3.399215
0.0,6,3.413077
1.0,7,3.429877
0.0,3,3.44053
0.0,3,3.450907
0.0,3,3.461785
0.0,3,3.47236
0.0,1,3.480129
0.0,2,3.490041
0.0,2,3.500367
1.0,7,3.517999
0.0,2,3.526404
0.0,2,3.535879
0.0,3,3.546225
0.0,1,3.555018
0.0,2,3.564003
0.0,2,3.573394
0.0,1,3.580549
0.0,1,3.589042
0.0,2,3.59652
0.0,2,3.605848
0.0,3,3.615864
0.0,1,3.624393
0.0,1,3.632362
0.0,1,3.640596
0.0,2,3.648592
2.0,10,3.669714
0.0,2,3.680452
0.0,1,3.688874
0.0,1,3.697365
0.0,2,3.706831
0.0,1,3.714451
0.0,2,3.7235
0.0,5,3.736195
0.0,2,3.747537
0.0,1,3.755948
1.0,4,3.769761
1.0,5,3.783098
0.0,2,3.793051
0.0,2,3.800895
0.0,3,3.813069
1.0,4,3.826273
0.0,1,3.835894
0.0,4,3.848529
0.0,1,3.856112
0.0,1,3.86458
0.0,2,3.873955
0.0,2,3.88351
0.0,2,3.893335
0.0,3,3.904587
0.0,2,3.915009
0.0,2,3.924183
0.0,1,3.932511
2.0,7,3.949567
1.0,4,3.962688
0.0,2,3.97139
0.0,1,3.979602
0.0,1,3.987286
0.0,2,3.997852
0.0,2,4.008156
0.0,3,4.019516
0.0,1,4.027422
0.0,1,4.036494
0.0,5,4.051563
1.0,6,4.067907
1.0,8,4.085769
0.0,4,4.099759
0.0,1,4.107838
0.0,1,4.115923
0.0,2,4.124408
0.0,2,4.135002
0.0,4,4.146486
1.0,5,4.16139
0.0,4,4.173372
0.0,1,4.182105
0.0,1,4.189621
0.0,1,4.197863
0.0,2,4.206308
0.0,1,4.215002
0.0,1,4.223087
0.0,1,4.232271
0.0,1,4.241046
1.0,8,4.261523
0.0,2,4.270611
0.0,2,4.279886
0.0,2,4.288009
2.0,6,4.302913
0.0,1,4.310395
0.0,4,4.322494
0.0,3,4.333323
0.0,2,4.34294
0.0,1,4.352358
1.0,5,4.36787
0.0,2,4.376397
0.0,4,4.389543
0.0,1,4.397448
1.0,8,4.415603
0.0,3,4.426408
0.0,1,4.435689
0.0,2,4.444992
0.0,3,4.456883
0.0,1,4.465028
0.0,1,4.47299
0.0,2,4.483449
0.0,1,4.49182
0.0,1,4.4995
0.0,1,4.50817
0.0,1,4.515447
0.0,1,4.524444
1.0,4,4.536677
0.0,3,4.548786
0.0,1,4.558025
0.0,2,4.56738
1.0,3,4.578575
0.0,2,4.587677
0.0,1,4.596299
2.0,6,4.611859
1.0,4,4.624112
1.0,4,4.637575
0.0,2,4.646132
0.0,1,4.653915
0.0,1,4.66228
0.0,1,4.67023
0.0,1,4.678948
0.0,3,4.690734
0.0,3,4.701727
0.0,2,4.710846
0.0,3,4.723306
0.0,2,4.733231
0.0,1,4.741044
0.0,2,4.750329
0.0,2,4.759253
0.0,1,4.767087
0.0,3,4.77799
0.0,5,4.793191
0.0,2,4.803337
0.0,2,4.812333
0.0,4,4.824444
0.0,2,4.833342
1.0,5,4.847136
0.0,1,4.854857
0.0,2,4.863301
0.0,3,4.874493
0.0,2,4.883111
0.0,1,4.891202
0.0,1,4.899214
0.0,1,4.90835
0.0,3,4.920198
0.0,1,4.929507
0.0,4,4.940832
0.0,4,4.955333
0.0,3,4.966393
0.0,1,4.975934
0.0,2,4.985341
0.0,3,4.996318
0.0,1,5.004169
1.0,5,5.019173
0.0,1,5.028044
0.0,1,5.03679
0.0,1,5.044374
0.0,2,5.053869
0.0,2,5.064183
0.0,2,5.07278
0.0,4,5.085485
0.0,4,5.098677
0.0,2,5.109202
0.0,2,5.120038
0.0,6,5.134444
0.0,3,5.146421
0.0,2,5.155715
0.0,1,5.164285
0.0,5,5.177764
0.0,3,5.189601
0.0,3,5.200074
0.0,4,5.213451
0.0,2,5.223868
0.0,1,5.232831
2.0,7,5.248801
0.0,1,5.258291
0.0,2,5.26713
0.0,2,5.277298
0.0,2,5.28663
0.0,6,5.301247
0.0,3,5.313461
0.0,2,5.3238
0.0,2,5.332499
0.0,7,5.350202
0.0,2,5.359132
0.0,2,5.367013
0.0,3,5.378007
0.0,2,5.389369
0.0,4,5.402917
1.0,6,5.417405
1.0,4,5.428652
0.0,1,5.437384
0.0,3,5.448337
0.0,1,5.456289
0.0,1,5.463725
0.0,4,5.474852
0.0,4,5.488506
1.0,4,5.501934
0.0,1,5.509843
1.0,5,5.523787
0.0,1,5.532036
0.0,1,5.540376
0.0,3,5.550666
0.0,3,5.561725
1.0,5,5.574758
0.0,1,5.583557
0.0,5,5.596017
0.0,2,5.606499
0.0,1,5.614065
0.0,1,5.622458
0.0,1,5.630437
0.0,1,5.639749
0.0,2,5.648962
0.0,4,5.662423
0.0,2,5.670644
1.0,5,5.6853
1.0,8,5.703319
0.0,2,5.712955
0.0,3,5.722951
0.0,1,5.731729
1.0,5,5.746112
1.0,7,5.762976
0.0,8,5.782232
0.0,1,5.791702
0.0,2,5.801131
0.0,3,5.813018
0.0,1,5.821066
0.0,2,5.83187
0.0,2,5.840387
0.0,2,5.850287
1.0,5,5.864327
0.0,4,5.878339
0.0,3,5.888506
