#{"t_start": 1653441351.095671, "env_id": null}
r,l,t
0.0,2,3.321962
0.0,1,3.330686
1.0,4,3.345213
0.0,1,3.353141
0.0,3,3.363519
0.0,1,3.372603
0.0,2,3.383167
0.0,1,3.391768
0.0,2,3.402912
0.0,2,3.414021
0.0,1,3.422672
0.0,5,3.436726
1.0,5,3.452465
0.0,1,3.459872
0.0,1,3.468056
1.0,4,3.483298
0.0,3,3.496244
0.0,1,3.504825
1.0,4,3.518599
0.0,1,3.526978
0.0,2,3.53679
0.0,4,3.549322
0.0,1,3.558242
0.0,2,3.568724
0.0,1,3.57779
0.0,1,3.585954
0.0,2,3.596556
0.0,3,3.609368
0.0,3,3.622763
0.0,2,3.632071
0.0,2,3.64238
0.0,3,3.655573
0.0,2,3.665405
0.0,2,3.674873
0.0,2,3.685029
0.0,2,3.693668
0.0,2,3.70305
0.0,2,3.711249
0.0,3,3.723006
0.0,4,3.735514
0.0,1,3.744312
0.0,2,3.753664
0.0,1,3.762317
0.0,1,3.77013
0.0,3,3.783939
0.0,2,3.794874
0.0,1,3.8036
0.0,1,3.812474
0.0,2,3.822619
0.0,1,3.830555
0.0,1,3.839182
1.0,7,3.85722
1.0,5,3.873668
0.0,2,3.883386
0.0,1,3.893173
0.0,5,3.908685
0.0,2,3.91925
0.0,1,3.927084
0.0,4,3.941103
1.0,4,3.955285
0.0,2,3.965816
0.0,4,3.97965
0.0,1,3.987747
0.0,2,3.997332
0.0,2,4.006934
0.0,3,4.018154
0.0,3,4.030218
0.0,3,4.04303
0.0,2,4.053315
0.0,2,4.063908
0.0,1,4.072432
1.0,3,4.085324
0.0,3,4.097937
0.0,9,4.12076
0.0,1,4.128726
0.0,1,4.136933
0.0,2,4.147001
0.0,1,4.156162
0.0,4,4.169476
0.0,2,4.179212
0.0,2,4.189763
0.0,2,4.200835
3.0,13,4.230222
1.0,5,4.247014
0.0,1,4.25596
0.0,2,4.265469
0.0,1,4.27359
0.0,1,4.28169
0.0,3,4.294276
0.0,1,4.301799
1.0,6,4.320097
0.0,3,4.331877
0.0,2,4.342253
0.0,3,4.352731
0.0,1,4.361304
0.0,1,4.369461
0.0,2,4.378824
0.0,1,4.387113
0.0,1,4.396634
0.0,2,4.406672
1.0,6,4.42575
0.0,3,4.436832
0.0,1,4.445647
0.0,1,4.453877
0.0,1,4.462992
0.0,1,4.470827
0.0,3,4.482616
1.0,5,4.498547
0.0,2,4.508516
0.0,1,4.517676
2.0,7,4.537605
0.0,3,4.548859
0.0,3,4.561158
0.0,1,4.569379
1.0,8,4.59219
2.0,8,4.612728
0.0,1,4.621955
0.0,1,4.630325
0.0,2,4.641501
